Subgroups,k,Estimate,CI_lower,CI_upper,tau2,I2,Q,Q_df,Q_p
HR,6,1.521738952,1.241848201,1.864712158,0.043950109,82.66873505,26.47432166,5,7.22E-05
OR,8,1.013675165,0.722979091,1.421254574,0.118967635,68.07478242,21.0308446,7,0.003724766
