Subgroups,k,Estimate,CI_lower,CI_upper,tau2,I2,Q,Q_df,Q_p
HR,6,1.169916165,1.019644094,1.34233488,0.026506829,96.33828817,45.40654298,5,1.20E-08
OR,5,0.94203228,0.522856666,1.697262127,0.327432413,80.56375117,29.89522677,4,5.14E-06
